Taxon	Taxon Level	Function	Type	growth morphology	Likelihood	Notes	Citation/Source
Aaosphaeria	7	Saprotroph			Probable		"Tedersoo et al. 28 November 2014, Science 346, 1256688"
Abortiporus	7	Saprotroph	Wood Rot		Highly Probable	White Rot	"Gilbertson RL; Ryvarden L. 1987-1987. North American Polypores. Fungiflora, Oslo"
Abortiporus	7	Saprotroph			Probable	White rot	"Tedersoo et al. 28 November 2014, Science 346, 1256688"
Abrachium	7	Saprotroph			Probable		"Tedersoo et al. 28 November 2014, Science 346, 1256688"
Abrothallus	7	Biotroph|Symbiotroph	Lichenicolous fungus		Possible		Esslinger TL. 2014. North Dakota State University: http://www.ndsu.edu/pubweb/~esslinge/chcklst/chcklst7.htm
Abrothallus parmeliarum	8	Biotroph|Symbiotroph	Lichenicolous fungus		Possible		Esslinger TL. 2014. North Dakota State University: http://www.ndsu.edu/pubweb/~esslinge/chcklst/chcklst7.htm
Absconditella	7	Symbiotroph	Lichenized		Highly Probable		Esslinger TL. 2014. North Dakota State University: http://www.ndsu.edu/pubweb/~esslinge/chcklst/chcklst7.htm
Absidia	7	Saprotroph			Probable		"Tedersoo et al. 28 November 2014, Science 346, 1256688"
Abundisporus	7	Saprotroph			Probable	White rot	"Tedersoo et al. 28 November 2014, Science 346, 1256688"
Acallomyces	7	Biotroph	Animal Pathogen		Probable		"Tedersoo et al. 28 November 2014, Science 346, 1256688"
Acantharia	7	Biotroph	Plant pathogen		Probable		"Tedersoo et al. 28 November 2014, Science 346, 1256688"
Acanthobasidium	7	Saprotroph			Probable	White rot	"Tedersoo et al. 28 November 2014, Science 346, 1256688"
Acanthodochium	7	Saprotroph			Probable		"Tedersoo et al. 28 November 2014, Science 346, 1256688"
Acanthofungus	7	Saprotroph			Probable	White rot	"Tedersoo et al. 28 November 2014, Science 346, 1256688"
Acanthogymnomyces	7	Saprotroph			Probable		"Tedersoo et al. 28 November 2014, Science 346, 1256688"
Acantholichen	7	Symbiotroph	Lichenized		Probable		"Tedersoo et al. 28 November 2014, Science 346, 1256688"
Acanthonitschkea	7	Saprotroph			Probable		"Tedersoo et al. 28 November 2014, Science 346, 1256688"
Acanthophiobolus	7	Saprotroph			Probable		"Tedersoo et al. 28 November 2014, Science 346, 1256688"
Acanthophysellum	7	Saprotroph			Probable	White rot	"Tedersoo et al. 28 November 2014, Science 346, 1256688"
Acanthophysium	7	Saprotroph			Probable	White rot	"Tedersoo et al. 28 November 2014, Science 346, 1256688"
Acanthorhynchus vaccinii	8	Biotroph	Plant Pathogen		Probable		http://www.apsnet.org/publications/commonnames/Pages/default.aspx
